,id,source,datetime,payload,Lat,Lon,Depth,DetB,DetBb
79,position&bloom,EdgeFussion,2021-08-01 01:19:00,"{'Lat': 15.8, 'Lon': 45.67727288213005, 'Depth': -15.877852522924734, 'DetB': 0, 'DetBb': 0}",15.8,45.67727288213005,-15.877852522924734,0,0
80,position&bloom,EdgeFussion,2021-08-01 01:20:00,"{'Lat': 16.0, 'Lon': 43.30127018922194, 'Depth': -10.000000000000005, 'DetB': 0, 'DetBb': 0}",16.0,43.30127018922194,-10.000000000000005,0,0
81,position&bloom,EdgeFussion,2021-08-01 01:21:00,"{'Lat': 16.2, 'Lon': 40.45084971874737, 'Depth': -4.1221474770752735, 'DetB': 0, 'DetBb': 0}",16.2,40.45084971874737,-4.1221474770752735,0,0
82,position&bloom,EdgeFussion,2021-08-01 01:22:00,"{'Lat': 16.400000000000002, 'Lon': 37.15724127386972, 'Depth': -0.4894348370484707, 'DetB': 0, 'DetBb': 0}",16.400000000000002,37.15724127386972,-0.4894348370484707,0,0
83,position&bloom,EdgeFussion,2021-08-01 01:23:00,"{'Lat': 16.6, 'Lon': 33.45653031794292, 'Depth': -0.4894348370484618, 'DetB': 0, 'DetBb': 0}",16.6,33.45653031794292,-0.4894348370484618,0,0
84,position&bloom,EdgeFussion,2021-08-01 01:24:00,"{'Lat': 16.8, 'Lon': 29.38926261462366, 'Depth': -4.122147477075265, 'DetB': 0, 'DetBb': 0}",16.8,29.38926261462366,-4.122147477075265,0,0
85,position&bloom,EdgeFussion,2021-08-01 01:25:00,"{'Lat': 17.0, 'Lon': 24.999999999999996, 'Depth': -9.999999999999995, 'DetB': 0, 'DetBb': 0}",17.0,24.999999999999996,-9.999999999999995,0,0
86,position&bloom,EdgeFussion,2021-08-01 01:26:00,"{'Lat': 17.2, 'Lon': 20.336832153790002, 'Depth': -15.877852522924726, 'DetB': 0, 'DetBb': 0}",17.2,20.336832153790002,-15.877852522924726,0,0
87,position&bloom,EdgeFussion,2021-08-01 01:27:00,"{'Lat': 17.400000000000002, 'Lon': 15.450849718747376, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",17.400000000000002,15.450849718747376,-19.510565162951536,0,0
88,position&bloom,EdgeFussion,2021-08-01 01:28:00,"{'Lat': 17.6, 'Lon': 10.395584540887965, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",17.6,10.395584540887965,-19.510565162951536,0,0
89,position&bloom,EdgeFussion,2021-08-01 01:29:00,"{'Lat': 17.8, 'Lon': 5.226423163382664, 'Depth': -15.877852522924737, 'DetB': 0, 'DetBb': 0}",17.8,5.226423163382664,-15.877852522924737,0,0
90,position&bloom,EdgeFussion,2021-08-01 01:30:00,"{'Lat': 18.0, 'Lon': 2.8327694488239898e-14, 'Depth': -10.000000000000007, 'DetB': 0, 'DetBb': 0}",18.0,2.8327694488239898e-14,-10.000000000000007,0,0
91,position&bloom,EdgeFussion,2021-08-01 01:31:00,"{'Lat': 18.2, 'Lon': -5.226423163382653, 'Depth': -4.122147477075275, 'DetB': 0, 'DetBb': 0}",18.2,-5.226423163382653,-4.122147477075275,0,0
92,position&bloom,EdgeFussion,2021-08-01 01:32:00,"{'Lat': 18.400000000000002, 'Lon': -10.395584540887953, 'Depth': -0.48943483704846713, 'DetB': 0, 'DetBb': 0}",18.400000000000002,-10.395584540887953,-0.48943483704846713,0,0
93,position&bloom,EdgeFussion,2021-08-01 01:33:00,"{'Lat': 18.6, 'Lon': -15.450849718747364, 'Depth': -0.4894348370484618, 'DetB': 0, 'DetBb': 0}",18.6,-15.450849718747364,-0.4894348370484618,0,0
94,position&bloom,EdgeFussion,2021-08-01 01:34:00,"{'Lat': 18.8, 'Lon': -20.33683215379001, 'Depth': -4.122147477075262, 'DetB': 0, 'DetBb': 0}",18.8,-20.33683215379001,-4.122147477075262,0,0
95,position&bloom,EdgeFussion,2021-08-01 01:35:00,"{'Lat': 19.0, 'Lon': -24.999999999999986, 'Depth': -9.999999999999991, 'DetB': 0, 'DetBb': 0}",19.0,-24.999999999999986,-9.999999999999991,0,0
96,position&bloom,EdgeFussion,2021-08-01 01:36:00,"{'Lat': 19.200000000000003, 'Lon': -29.38926261462365, 'Depth': -15.877852522924725, 'DetB': 0, 'DetBb': 0}",19.200000000000003,-29.38926261462365,-15.877852522924725,0,0
97,position&bloom,EdgeFussion,2021-08-01 01:37:00,"{'Lat': 19.400000000000002, 'Lon': -33.456530317942914, 'Depth': -19.510565162951533, 'DetB': 0, 'DetBb': 0}",19.400000000000002,-33.456530317942914,-19.510565162951533,0,0
